ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
780;АЭР;20.11.17;НМОУ;ПИР;Нормоконтроль;ок;офис АЭР;;
781;АЭР;20.11.17; -;Ревизия дел; -;ок;офис АЭР;;
782;АЭР;21.11.17;Т Плюс Самарский;Комплектация; -;ок;офис АЭР;;
783;АЭР;21.11.17;Т Плюс Самарский;Сдача работ;Акты КС-2,3;ок;офис АЭР;;
784;АЭР;21.11.17;Т Плюс Самарский;Сдача работ;Исполнительная документация;ок;офис АЭР;;
785;АЭР;21.11.17; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
786;АЭР;21.11.17; -;Маркетинг;запрос Титову ВВ;ок;офис АЭР;;
787;АЭР;21.11.17;Си Айрлайд;Техсопровождение;контроль показаний;ок;офис АЭР;;
788;АЭР;21.11.17;Т Плюс Самарский;Комплектация;переплата Ампер-Сервис;ок;офис АЭР;;
789;АЭР;21.11.17;НМОУ;ПИР; -;ок;офис АЭР;;
790;АЭР;22.11.17;Т Плюс Самарский;Сдача работ;Акты КС-2,3;ок;офис АЭР;;
791;АЭР;22.11.17;СК Энергосбыт;ПИР;согласование РД;неокончено;офис АЭР;;
792;АЭР;22.11.17;СК Энергосбыт;Комплектация; -;неокончено;офис АЭР;;
793;АЭР;22.11.17;НМОУ;ПИР; -;ок;офис АЭР;;
794;ЭА;22.11.17;ЗГАЭС-2;ППО;подготовка;неокончено;офис АЭР;;
795;АЭР;22.11.17; -;Техническое развитие;ИКК;ок;офис АЭР;;
796;АЭР;23.11.17; -;Техническое развитие;комплектующие;ок;офис АЭР;;
797;АЭР;23.11.17;Т Плюс Самарский;МНР; -;ок;офис АЭР;;
798;АЭР;23.11.17;Ростелеком;ППО;дополнительно;ок;офис АЭР;;
799;АЭР;23.11.17; -;Ревизия дел; -;ок;офис АЭР;;
800;АЭР;23.11.17; -;Техническое развитие;складская база;ок;офис АЭР;;
801;АЭР;23.11.17;Т Плюс Самарский;Комплектация;ревизия склада;ок;офис АЭР;;
802;АЭР;23.11.17;СК Энергосбыт;Испытания;допуск персонала;неокончено;офис АЭР;;
803;АЭР;24.11.17;СК Энергосбыт;Комплектация; -;ок;командировка;;
804;ЭА;24.11.17; -; -;Документы;ок;командировка;;
805;АЭР;24.11.17;Глобус ТО;Договор;контакты;неокончено;офис АЭР;;
806;АЭР;24.11.17;Т Плюс Самарский;Комплектация; -;неокончено;офис АЭР;;
807;АЭР;24.11.17;СК Энергосбыт;Комплектация; -;ок;офис АЭР;;
808;АЭР;24.11.17;СК Энергосбыт;Комплектация;Сборка;неокончено;офис АЭР;;
809;АЭР;24.11.17;СК Энергосбыт;Комплектация; -;ок;офис АЭР;;
810;ЭА;26.11.17;ЗГАЭС-2;ППО;Подготовка;ок;офис АЭР;;
811;ЭА;27.11.17;ЗГАЭС-2;ППО; -;неокончено;командировка;;
812;АЭР;28.11.17;Т Плюс Самарский;Комплектация; -;неокончено;офис АЭР;;
813;АЭР;28.11.17;СК Энергосбыт;ПИР;согласование РД;неокончено;офис АЭР;;
814;АЭР;28.11.17;Эзминская ГЭС;ТКП; -;неокончено;офис АЭР;;
815;АЭР;28.11.17; -;Маркетинг;Изучение рынка МНР розницы;ок;офис АЭР;;
816;АЭР;28.11.17; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
817;ЭА;28.11.17;ЭАК ОЭК;Арбитраж;подготовка;неокончено;офис АЭР;;
818;АЭР;28.11.17;СК Энергосбыт;Испытания;подготовка;ок;офис АЭР;;
819;АЭР;29.11.17;НМОУ;ППО;Переговоры с заказчиком;ок;командировка;;
820;АЭР;29.11.17;НМОУ;ПИР;Встреча со Шнайдером;ок;командировка;;
821;АЭР;29.11.17;НМОУ;ПИР; -;ок;командировка;;
822;АЭР;29.11.17;СК Энергосбыт;ППО; -;ок;офис АЭР;;
823;АЭР;29.11.17;СК Энергосбыт;ПИР; -;ок;офис АЭР;;
824;АЭР;29.11.17;Эзминская ГЭС;ТКП; -;ок;офис АЭР;;
825;АЭР;29.11.17;Ростелеком;Испытания;подготовка;ок;офис АЭР;;
826;АЭР;30.11.17;Т Плюс Самарский;Комплектация; -;ок;офис АЭР;;
827;АЭР;30.11.17;СК Энергосбыт;Комплектация;Сборка;неокончено;офис АЭР;;
828;АЭР;30.11.17; -; -; -;ок;офис АЭР;;
829;АЭР;01.12.17;СК Энергосбыт;МНР;подготовка;неокончено;офис АЭР;;
830;АЭР;01.12.17;Т Плюс Самарский;Комплектация; -;ок;офис АЭР;;
831;АЭР;01.12.17;СК Энергосбыт;Комплектация;SIM;ок;командировка;;
832;АЭР;01.12.17; -;Ревизия дел; -;ок;офис АЭР;;
833;АЭР;03.12.17;СК Энергосбыт;Комплектация;Сборка;ок;офис АЭР;;
834;ЭА;03.12.17;ЗГАЭС-2;ППО;Отчет;неокончено;офис АЭР;;
835;АЭР;04.12.17;Т Плюс Самарский;МНР;контроль;ок;офис АЭР;;
